user_id,group,visit_date,conversion,product_category,product_id,product_name,quantity,discount,total_value,payment_method,shipping_method,region,customer_age,customer_gender,device,session_duration,coupon_used,browser,referral_source,conversion_str,price_knn
36,b,2022-01-26,1,fashhion,1148,jeans,3,0.08,303.77,cash_on_delivery,express,east,24.0,m,tablet,12,no,safari,organic,yes,110.06
37,a,2022-01-14,0,home,1045,sofa,0,0.01,0.0,no_conversion,no_conversion,south,24.0,m,mobile,19,no_conversion,firefox,social,no,267.62
38,a,2022-02-26,1,toys,1143,doll,3,0.21,47.38,cash_on_delivery,same_day,west,67.0,f,desktop,17,no,edge,organic,yes,19.99
39,b,2022-02-06,0,fashhion,1749,dress,0,0.19,0.0,no_conversion,no_conversion,central,42.0,f,mobile,30,no_conversion,chrome,email,no,157.58
40,a,2022-02-27,0,beauty,1783,lotion,0,0.12,0.0,no_conversion,no_conversion,east,49.0,f,desktop,24,no_conversion,chrome,email,no,78.97
41,a,2022-01-21,0,books,1631,novel,0,0.16,0.0,no_conversion,no_conversion,east,25.0,f,desktop,26,no_conversion,edge,social,no,20.25
42,a,2022-03-23,1,toys,1339,puzzle,1,0.28,13.65,bank_transfer,standard,south,29.0,f,mobile,27,yes,safari,organic,yes,18.96
43,a,2022-03-10,0,toys,1412,action_figure,0,0.18,0.0,no_conversion,no_conversion,central,27.0,m,mobile,7,no_conversion,firefox,organic,no,57.46
44,b,2022-01-03,0,fashhion,1731,dress,0,0.2,0.0,no_conversion,no_conversion,west,31.0,m,desktop,30,no_conversion,chrome,paid,no,155.51
45,a,2022-03-28,0,sports,1519,running_shoes,0,0.02,0.0,no_conversion,no_conversion,north,26.0,m,mobile,9,no_conversion,firefox,paid,no,106.14
46,b,2022-03-31,0,fashhion,1343,dress,0,0.05,0.0,no_conversion,no_conversion,west,42.0,f,mobile,14,no_conversion,edge,email,no,59.38
47,a,2022-02-06,0,home,1386,lamp,0,0.09,0.0,no_conversion,no_conversion,west,47.0,m,desktop,26,no_conversion,safari,email,no,284.87
48,b,2022-03-29,0,home,1472,lamp,0,0.16,0.0,no_conversion,no_conversion,central,22.0,f,tablet,20,no_conversion,firefox,paid,no,119.9
49,b,2022-02-18,0,toys,1274,action_figure,0,0.23,0.0,no_conversion,no_conversion,east,18.0,m,mobile,12,no_conversion,safari,organic,no,68.33
50,a,2022-01-19,0,toys,1352,board_game,0,0.1,0.0,no_conversion,no_conversion,west,18.0,m,mobile,15,no_conversion,chrome,social,no,62.51
51,b,2022-03-30,0,fashhion,1065,t-shirt,0,0.11,0.0,no_conversion,no_conversion,east,37.0,m,tablet,12,no_conversion,firefox,social,no,35.67
52,b,2022-03-26,1,home,1078,table,4,0.08,244.46,cash_on_delivery,same_day,central,66.0,m,mobile,21,yes,other,organic,yes,66.43
53,b,2022-01-12,0,home,1597,lamp,0,0.08,0.0,no_conversion,no_conversion,central,28.0,f,desktop,21,no_conversion,chrome,email,no,329.13
54,b,2022-03-02,0,sports,1635,football,0,0.28,0.0,no_conversion,no_conversion,south,43.0,m,mobile,29,no_conversion,safari,social,no,109.46
55,b,2022-02-10,0,beauty,1201,perfume,0,0.19,0.0,no_conversion,no_conversion,north,61.0,m,desktop,23,no_conversion,edge,organic,no,22.1
56,b,2022-02-02,0,sports,1977,gym_bag,0,0.05,0.0,no_conversion,no_conversion,central,20.0,m,tablet,13,no_conversion,other,social,no,235.05
57,a,2022-02-19,0,electronics,1661,camera,0,0.22,0.0,no_conversion,no_conversion,central,23.0,m,tablet,9,no_conversion,firefox,organic,no,451.24
58,a,2022-03-09,0,books,1557,science_fiction,0,0.22,0.0,no_conversion,no_conversion,east,60.0,m,tablet,24,no_conversion,chrome,paid,no,25.68
59,a,2022-03-12,0,sports,1112,running_shoes,0,0.2,0.0,no_conversion,no_conversion,central,62.0,m,mobile,7,no_conversion,firefox,paid,no,93.94
60,a,2022-03-27,1,fashhion,1090,dress,1,0.04,127.6,cash_on_delivery,standard,west,28.0,f,tablet,30,yes,firefox,social,yes,132.92
61,a,2022-02-02,0,beauty,1140,lotion,0,0.12,0.0,no_conversion,no_conversion,south,25.0,m,mobile,1,no_conversion,other,social,no,52.21
62,a,2022-03-22,1,fashhion,1288,t-shirt,1,0.03,188.41,credit_card,express,south,46.0,m,mobile,28,no,other,social,yes,194.24
63,b,2022-01-24,1,books,1900,science_fiction,2,0.24,55.68,bank_transfer,express,west,27.0,f,mobile,10,yes,other,social,yes,36.63
64,a,2022-03-02,0,electronics,1729,laptop,0,0.2,0.0,no_conversion,no_conversion,central,51.0,m,tablet,29,no_conversion,other,paid,no,309.38
65,a,2022-03-02,0,beauty,1588,lipstick,0,0.15,0.0,no_conversion,no_conversion,north,41.0,m,tablet,6,no_conversion,edge,paid,no,68.34
66,b,2022-01-28,0,toys,1410,action_figure,0,0.1,0.0,no_conversion,no_conversion,central,63.0,f,mobile,26,no_conversion,safari,organic,no,41.62
67,a,2022-02-27,0,home,1376,table,0,0.06,0.0,no_conversion,no_conversion,south,65.0,m,tablet,15,no_conversion,other,social,no,290.41
68,b,2022-02-12,0,sports,1383,running_shoes,0,0.03,0.0,no_conversion,no_conversion,north,34.0,f,mobile,15,no_conversion,chrome,paid,no,257.32
69,a,2022-02-10,0,fashhion,1845,t-shirt,0,0.29,0.0,no_conversion,no_conversion,east,49.0,f,tablet,9,no_conversion,firefox,email,no,125.02
70,b,2022-02-08,0,electronics,1151,camera,0,0.06,0.0,no_conversion,no_conversion,east,28.0,f,desktop,13,no_conversion,other,organic,no,249.25
71,b,2022-03-27,0,home,1834,lamp,0,0.02,0.0,no_conversion,no_conversion,central,51.0,f,tablet,23,no_conversion,chrome,organic,no,344.94
72,a,2022-02-18,0,sports,1750,tennis_racket,0,0.29,0.0,no_conversion,no_conversion,central,41.0,m,tablet,1,no_conversion,edge,organic,no,32.23
73,a,2022-01-17,0,home,1626,table,0,0.16,0.0,no_conversion,no_conversion,north,22.0,m,tablet,9,no_conversion,chrome,email,no,400.98
74,b,2022-03-11,1,sports,1318,running_shoes,1,0.24,159.59,credit_card,same_day,north,46.0,m,mobile,3,yes,chrome,email,yes,209.99
75,b,2022-03-11,0,toys,1368,doll,0,0.01,0.0,no_conversion,no_conversion,central,65.0,m,mobile,30,no_conversion,edge,email,no,34.33
76,b,2022-03-06,0,beauty,1605,perfume,0,0.17,0.0,no_conversion,no_conversion,south,65.0,f,desktop,9,no_conversion,edge,paid,no,50.94
77,b,2022-03-15,0,home,1994,chair,0,0.12,0.0,no_conversion,no_conversion,east,51.0,f,desktop,20,no_conversion,firefox,email,no,409.22
78,a,2022-03-26,0,home,1559,chair,0,0.23,0.0,no_conversion,no_conversion,north,33.0,f,desktop,25,no_conversion,other,organic,no,402.5
79,a,2022-01-05,0,home,1702,sofa,0,0.01,0.0,no_conversion,no_conversion,south,42.0,f,mobile,29,no_conversion,chrome,social,no,208.54
80,a,2022-01-02,1,beauty,1461,perfume,1,0.12,45.63,bank_transfer,express,central,54.0,m,desktop,15,no,safari,organic,yes,51.85
81,b,2022-01-22,0,electronics,1011,camera,0,0.24,0.0,no_conversion,no_conversion,west,25.0,f,desktop,24,no_conversion,safari,organic,no,647.86
82,b,2022-02-26,0,sports,1155,gym_bag,0,0.16,0.0,no_conversion,no_conversion,north,46.0,f,tablet,7,no_conversion,firefox,paid,no,32.26
83,a,2022-03-07,0,toys,1683,action_figure,0,0.17,0.0,no_conversion,no_conversion,west,69.0,f,desktop,4,no_conversion,safari,organic,no,12.85
84,a,2022-03-15,1,home,1476,sofa,5,0.03,517.88,paypal,same_day,south,63.0,m,tablet,25,yes,firefox,paid,yes,106.78
85,a,2022-01-16,0,books,1938,mystery,0,0.04,0.0,no_conversion,no_conversion,east,42.0,f,mobile,20,no_conversion,other,paid,no,13.34
86,a,2022-02-20,0,beauty,1400,mascara,0,0.2,0.0,no_conversion,no_conversion,south,42.0,m,mobile,17,no_conversion,firefox,social,no,81.68
87,b,2022-02-08,0,electronics,1807,smartphone,0,0.2,0.0,no_conversion,no_conversion,east,40.0,f,tablet,22,no_conversion,edge,organic,no,993.79
88,b,2022-03-27,0,sports,1176,running_shoes,0,0.29,0.0,no_conversion,no_conversion,south,51.0,f,desktop,4,no_conversion,edge,social,no,206.21
89,b,2022-03-17,0,beauty,1340,perfume,0,0.21,0.0,no_conversion,no_conversion,north,20.0,m,mobile,26,no_conversion,edge,social,no,18.58
90,a,2022-03-29,0,toys,1056,board_game,0,0.15,0.0,no_conversion,no_conversion,north,47.0,f,tablet,19,no_conversion,edge,organic,no,54.93
91,a,2022-02-09,1,toys,1854,board_game,3,0.26,115.84,bank_transfer,express,west,67.0,f,mobile,28,no,edge,organic,yes,52.18
92,b,2022-02-07,0,sports,1851,football,0,0.03,0.0,no_conversion,no_conversion,south,70.0,m,mobile,5,no_conversion,edge,email,no,68.93
93,b,2022-03-01,0,home,1447,sofa,0,0.13,0.0,no_conversion,no_conversion,south,51.0,f,desktop,16,no_conversion,edge,email,no,464.12
94,b,2022-02-28,0,toys,1202,puzzle,0,0.09,0.0,no_conversion,no_conversion,west,49.0,f,mobile,3,no_conversion,edge,paid,no,46.87
95,b,2022-01-10,0,electronics,1696,laptop,0,0.03,0.0,no_conversion,no_conversion,central,70.0,f,tablet,11,no_conversion,edge,organic,no,995.65
96,a,2022-03-05,0,beauty,1632,mascara,0,0.23,0.0,no_conversion,no_conversion,south,46.0,f,desktop,25,no_conversion,other,paid,no,68.81
97,b,2022-03-04,0,electronics,1737,camera,0,0.15,0.0,no_conversion,no_conversion,south,26.0,m,tablet,28,no_conversion,edge,social,no,686.37
98,a,2022-02-18,1,home,1201,sofa,3,0.17,241.88,bank_transfer,express,south,19.0,f,tablet,22,no,firefox,social,yes,184.57213775510203
99,a,2022-03-05,0,electronics,1329,smartphone,0,0.12,0.0,no_conversion,no_conversion,central,56.0,m,tablet,15,no_conversion,other,email,no,563.38
100,a,2022-02-01,0,electronics,1362,laptop,0,0.14,0.0,no_conversion,no_conversion,north,24.0,m,desktop,19,no_conversion,safari,paid,no,391.01
101,a,2022-01-07,0,fashhion,1891,jeans,0,0.03,0.0,no_conversion,no_conversion,west,63.0,f,mobile,21,no_conversion,chrome,organic,no,170.4
102,b,2022-01-21,0,electronics,1453,smartphone,0,0.2,0.0,no_conversion,no_conversion,central,22.0,f,tablet,24,no_conversion,other,organic,no,827.14
103,a,2022-01-20,0,sports,1355,gym_bag,0,0.13,0.0,no_conversion,no_conversion,east,25.0,f,mobile,14,no_conversion,edge,email,no,252.53
104,b,2022-01-26,0,beauty,1215,lipstick,0,0.25,0.0,no_conversion,no_conversion,east,49.0,f,mobile,16,no_conversion,other,email,no,111.31
105,b,2022-03-09,0,fashhion,1971,sneakers,0,0.06,0.0,no_conversion,no_conversion,central,35.0,f,tablet,24,no_conversion,chrome,paid,no,169.88
106,a,2022-03-27,1,beauty,1554,perfume,4,0.06,143.33,credit_card,standard,central,55.0,m,mobile,6,yes,chrome,email,yes,38.12
107,a,2022-01-15,0,beauty,1886,perfume,0,0.19,0.0,no_conversion,no_conversion,north,63.0,other,desktop,5,no_conversion,edge,email,no,73.29
108,b,2022-03-26,0,home,1022,chair,0,0.25,0.0,no_conversion,no_conversion,east,35.0,m,desktop,21,no_conversion,edge,email,no,361.33
109,a,2022-03-20,0,home,1154,lamp,0,0.14,0.0,no_conversion,no_conversion,west,66.0,f,mobile,17,no_conversion,firefox,social,no,336.83
110,a,2022-03-27,1,fashhion,1185,jeans,3,0.22,348.52,bank_transfer,same_day,south,58.0,f,mobile,16,yes,chrome,paid,yes,148.94
111,a,2022-01-14,0,toys,1248,board_game,0,0.3,0.0,no_conversion,no_conversion,south,62.0,f,desktop,2,no_conversion,edge,organic,no,26.3
112,a,2022-01-27,0,books,1748,novel,0,0.3,0.0,no_conversion,no_conversion,north,33.0,m,mobile,28,no_conversion,chrome,organic,no,9.43
113,b,2022-02-09,0,home,1804,lamp,0,0.22,0.0,no_conversion,no_conversion,north,38.0,other,mobile,11,no_conversion,firefox,paid,no,462.56
114,b,2022-02-27,0,books,1133,science_fiction,0,0.22,0.0,no_conversion,no_conversion,east,27.0,f,mobile,4,no_conversion,safari,email,no,30.21
115,b,2022-01-28,0,home,1320,table,0,0.07,0.0,no_conversion,no_conversion,west,59.0,f,mobile,6,no_conversion,chrome,email,no,119.22
116,b,2022-01-26,0,home,1389,table,0,0.1502244897959184,0.0,no_conversion,no_conversion,west,21.0,m,tablet,27,no_conversion,firefox,organic,no,407.05
117,b,2022-03-04,0,beauty,1433,lotion,0,0.12,0.0,no_conversion,no_conversion,central,61.0,f,mobile,7,no_conversion,firefox,social,no,138.09
118,a,2022-03-07,0,fashhion,1021,jeans,0,0.29,0.0,no_conversion,no_conversion,north,25.0,f,desktop,17,no_conversion,firefox,paid,no,50.52
119,b,2022-01-25,0,beauty,1872,perfume,0,0.02,0.0,no_conversion,no_conversion,south,64.0,f,tablet,8,no_conversion,other,email,no,124.44
120,b,2022-01-03,0,sports,1599,football,0,0.13,0.0,no_conversion,no_conversion,south,70.0,f,tablet,28,no_conversion,edge,social,no,281.97
121,b,2022-03-13,0,beauty,1664,lipstick,0,0.17,0.0,no_conversion,no_conversion,east,36.0,m,desktop,1,no_conversion,chrome,social,no,141.37
122,b,2022-02-13,0,books,1124,science_fiction,0,0.12,0.0,no_conversion,no_conversion,south,64.0,m,mobile,25,no_conversion,other,email,no,46.14
123,a,2022-02-11,1,books,1078,biography,4,0.06,111.26,bank_transfer,same_day,west,57.0,m,tablet,15,no,chrome,paid,yes,29.59
124,a,2022-01-06,0,sports,1857,tennis_racket,0,0.18,0.0,no_conversion,no_conversion,west,57.0,m,tablet,20,no_conversion,other,paid,no,126.18
125,a,2022-02-08,1,electronics,1967,smartphone,5,0.23,792.41,credit_card,express,north,68.0,other,mobile,12,yes,edge,organic,yes,205.82
126,a,2022-02-21,0,electronics,1050,smartphone,0,0.19,0.0,no_conversion,no_conversion,east,26.0,m,mobile,15,no_conversion,firefox,organic,no,248.73
127,b,2022-01-23,0,sports,1727,running_shoes,0,0.07,0.0,no_conversion,no_conversion,south,47.0,m,desktop,23,no_conversion,chrome,paid,no,145.79
128,b,2022-03-30,1,sports,1175,football,3,0.22,322.5,paypal,standard,north,34.0,m,tablet,27,yes,firefox,email,yes,137.82
129,a,2022-02-19,0,beauty,1869,lotion,0,0.08,0.0,no_conversion,no_conversion,central,57.0,f,mobile,30,no_conversion,edge,paid,no,35.86
130,b,2022-02-12,0,sports,1252,gym_bag,0,0.05,0.0,no_conversion,no_conversion,central,61.0,m,mobile,22,no_conversion,chrome,organic,no,136.78
131,a,2022-01-19,0,fashhion,1965,sneakers,0,0.21,0.0,no_conversion,no_conversion,south,32.0,m,desktop,15,no_conversion,safari,organic,no,51.44
132,a,2022-03-10,0,electronics,1245,smartphone,0,0.25,0.0,no_conversion,no_conversion,south,21.0,m,tablet,29,no_conversion,safari,organic,no,879.03
133,a,2022-02-20,0,electronics,1738,smartphone,0,0.14,0.0,no_conversion,no_conversion,south,23.0,m,mobile,9,no_conversion,safari,paid,no,438.56
134,a,2022-01-11,0,toys,1105,puzzle,0,0.16,0.0,no_conversion,no_conversion,west,42.0,other,desktop,16,no_conversion,edge,paid,no,61.86
135,b,2022-01-12,0,sports,1192,running_shoes,0,0.09,0.0,no_conversion,no_conversion,south,43.0,m,tablet,30,no_conversion,safari,email,no,165.77
136,a,2022-03-15,0,home,1315,sofa,0,0.15,0.0,no_conversion,no_conversion,central,54.0,f,tablet,2,no_conversion,chrome,organic,no,73.35
137,b,2022-01-08,0,home,1301,table,0,0.04,0.0,no_conversion,no_conversion,south,40.0,other,tablet,15,no_conversion,safari,social,no,474.01
138,b,2022-01-24,0,sports,1547,tennis_racket,0,0.29,0.0,no_conversion,no_conversion,east,30.0,f,tablet,15,no_conversion,chrome,social,no,172.35
139,a,2022-02-10,0,fashhion,1953,sneakers,0,0.24,0.0,no_conversion,no_conversion,central,64.0,other,desktop,27,no_conversion,edge,email,no,78.51
140,b,2022-02-05,0,home,1715,sofa,0,0.2,0.0,no_conversion,no_conversion,east,34.0,other,mobile,7,no_conversion,firefox,email,no,121.16
141,b,2022-03-26,1,toys,1933,action_figure,5,0.16,156.07,paypal,standard,central,44.0,f,tablet,27,no,other,organic,yes,37.16
142,a,2022-03-13,0,books,1778,mystery,0,0.24,0.0,no_conversion,no_conversion,north,69.0,f,tablet,21,no_conversion,safari,paid,no,5.92
143,a,2022-02-24,1,sports,1267,tennis_racket,3,0.15,326.81,paypal,same_day,central,39.0,m,mobile,13,yes,other,paid,yes,128.16
144,a,2022-01-09,0,fashhion,1169,sneakers,0,0.09,0.0,no_conversion,no_conversion,central,54.0,m,tablet,23,no_conversion,firefox,social,no,115.67
145,a,2022-02-16,0,fashhion,1550,sneakers,0,0.1502244897959184,0.0,no_conversion,no_conversion,east,36.0,f,tablet,17,no_conversion,edge,organic,no,176.94
146,a,2022-01-15,0,beauty,1454,lotion,0,0.19,0.0,no_conversion,no_conversion,east,56.0,f,mobile,11,no_conversion,edge,social,no,106.23
147,b,2022-02-17,0,fashhion,1650,t-shirt,0,0.28,0.0,no_conversion,no_conversion,central,52.0,f,mobile,27,no_conversion,firefox,social,no,40.08
148,b,2022-03-23,0,home,1291,table,0,0.05,0.0,no_conversion,no_conversion,central,30.0,f,tablet,10,no_conversion,other,organic,no,116.49
149,a,2022-02-11,0,books,1563,biography,0,0.05,0.0,no_conversion,no_conversion,west,31.0,m,mobile,25,no_conversion,safari,email,no,24.27
150,a,2022-03-01,0,home,1798,table,0,0.13,0.0,no_conversion,no_conversion,north,65.0,f,desktop,1,no_conversion,chrome,social,no,138.07
151,b,2022-03-25,1,sports,1800,football,3,0.24,85.55,bank_transfer,same_day,north,48.0,m,desktop,14,no,edge,email,yes,37.52
152,a,2022-03-11,0,books,1140,mystery,0,0.09,0.0,no_conversion,no_conversion,south,62.0,m,tablet,5,no_conversion,firefox,paid,no,41.23
153,a,2022-01-12,0,sports,1145,gym_bag,0,0.08,0.0,no_conversion,no_conversion,central,19.0,f,tablet,30,no_conversion,other,social,no,35.27
154,a,2022-01-02,0,fashhion,1424,t-shirt,0,0.19,0.0,no_conversion,no_conversion,central,63.0,m,mobile,8,no_conversion,safari,organic,no,169.52
155,b,2022-01-07,0,toys,1313,action_figure,0,0.16,0.0,no_conversion,no_conversion,central,69.0,f,mobile,1,no_conversion,other,email,no,18.69
156,a,2022-03-21,0,electronics,1183,camera,0,0.02,0.0,no_conversion,no_conversion,central,56.0,f,tablet,7,no_conversion,safari,paid,no,979.74
157,b,2022-01-03,0,books,1663,mystery,0,0.02,0.0,no_conversion,no_conversion,north,54.0,m,tablet,2,no_conversion,chrome,paid,no,32.17
158,b,2022-01-03,1,beauty,1712,perfume,5,0.19,457.25,credit_card,express,east,31.0,f,desktop,7,no,chrome,social,yes,112.9
159,a,2022-01-27,0,electronics,1127,smartphone,0,0.14,0.0,no_conversion,no_conversion,west,26.0,f,mobile,7,no_conversion,firefox,paid,no,288.39
160,b,2022-02-09,0,fashhion,1286,dress,0,0.29,0.0,no_conversion,no_conversion,east,27.0,m,tablet,9,no_conversion,firefox,organic,no,175.18
161,a,2022-02-02,0,fashhion,1822,t-shirt,0,0.2,0.0,no_conversion,no_conversion,east,42.0,m,tablet,22,no_conversion,safari,social,no,171.05
162,b,2022-01-01,0,electronics,1252,smartphone,0,0.0,0.0,no_conversion,no_conversion,north,45.0,f,mobile,4,no_conversion,safari,paid,no,722.39
163,b,2022-01-08,0,beauty,1777,lipstick,0,0.14,0.0,no_conversion,no_conversion,west,63.0,m,mobile,23,no_conversion,safari,organic,no,80.32
164,b,2022-02-01,0,books,1699,biography,0,0.12,0.0,no_conversion,no_conversion,central,42.0,f,tablet,7,no_conversion,safari,email,no,37.47
165,a,2022-02-17,0,books,1385,science_fiction,0,0.03,0.0,no_conversion,no_conversion,north,63.0,m,tablet,20,no_conversion,chrome,email,no,5.27
166,b,2022-01-04,0,electronics,1229,headphones,0,0.28,0.0,no_conversion,no_conversion,north,45.0,f,tablet,18,no_conversion,firefox,social,no,673.95
167,a,2022-03-11,0,sports,1270,running_shoes,0,0.24,0.0,no_conversion,no_conversion,west,19.0,f,mobile,13,no_conversion,firefox,organic,no,258.8
168,a,2022-01-19,0,home,1770,table,0,0.07,0.0,no_conversion,no_conversion,south,34.0,m,tablet,11,no_conversion,edge,paid,no,210.6
169,a,2022-02-01,0,toys,1810,action_figure,0,0.08,0.0,no_conversion,no_conversion,north,69.0,f,tablet,9,no_conversion,firefox,social,no,15.29
170,b,2022-01-09,0,sports,1414,football,0,0.01,0.0,no_conversion,no_conversion,east,42.0,f,tablet,14,no_conversion,firefox,social,no,143.64
171,b,2022-01-12,0,books,1197,novel,0,0.09,0.0,no_conversion,no_conversion,east,30.0,f,desktop,8,no_conversion,other,paid,no,37.72
172,a,2022-01-11,1,home,1322,lamp,1,0.18,80.6,paypal,same_day,central,35.0,f,desktop,21,no,other,organic,yes,98.29
173,b,2022-02-15,1,toys,1055,action_figure,1,0.13,21.38,paypal,express,north,20.0,f,mobile,14,no,edge,paid,yes,24.57
174,a,2022-01-16,0,toys,1830,puzzle,0,0.29,0.0,no_conversion,no_conversion,central,68.0,f,tablet,21,no_conversion,safari,email,no,19.02
175,b,2022-01-01,0,toys,1202,action_figure,0,0.02,0.0,no_conversion,no_conversion,north,54.0,f,tablet,17,no_conversion,edge,social,no,80.71
176,a,2022-03-04,0,fashhion,1782,dress,0,0.18,0.0,no_conversion,no_conversion,west,50.0,f,mobile,27,no_conversion,edge,email,no,31.32
177,b,2022-01-21,0,toys,1620,doll,0,0.26,0.0,no_conversion,no_conversion,north,58.0,m,mobile,25,no_conversion,chrome,social,no,70.23
178,a,2022-01-30,0,beauty,1627,perfume,0,0.14,0.0,no_conversion,no_conversion,south,41.0,other,mobile,27,no_conversion,firefox,paid,no,61.3
179,b,2022-01-13,0,electronics,1603,laptop,0,0.0,0.0,no_conversion,no_conversion,east,25.0,m,tablet,14,no_conversion,chrome,organic,no,804.63
180,a,2022-02-03,1,books,1137,biography,1,0.07,45.01,paypal,standard,west,52.0,m,desktop,26,yes,firefox,paid,yes,184.57213775510203
