User Id,Group,Visit Date,Conversion,Product Category,Product Id,Product Name,Quantity,Price,Discount,Total Value,Payment Method,Shipping Method,Region,Customer Age,Customer Gender,Device,Session Duration,Coupon Used,Browser,Referral Source
51,B,2022-03-30,0,FASHHION,P1065,T-shirt,0,"35,67","0,11","0,0",,,East,37.0,M,TABLET,12,,Firefoxxxxxx,Social
52,B,2022-03-26,1,HOME,P1078,Table,4,"66,43","0,08","244,46",Cash on Delivery,Same day,Central,66.0,M,Mobile,21,Yes,Ottttther,Organic
53,B,2022-01-12,0,HOME,P1597,Lamp,0,"329,13","0,08","0,0",,,Central,28.0,F,Desktop,21,,Chrooome,Email
54,B,2022-03-02,0,SPORTS,P1635,Football,0,"109,46","0,28","0,0",,,South,43.0,M,Mobile,29,,Safaaaaari,Social
55,B,2022-02-10,0,BEAUTY,P1201,Perfume,0,"22,1","0,19","0,0",,,North,61.0,M,Desktop,23,,Eddddge,Organic
56,B,2022-02-02,0,SPORTS,P1977,Gym Bag,0,"235,05","0,05","0,0",,,Central,20.0,M,TABLET,13,,Ottttther,Social
57,A,2022-02-19,0,ELECTRONICS,P1661,Camera,0,"451,24","0,22","0,0",,,Central,23.0,M,TABLET,9,,Firefoxxxxxx,Organic
58,A,2022-03-09,0,BOOKS,P1557,Science Fiction,0,"25,68","0,22","0,0",,,East,60.0,M,TABLET,24,,Chrooome,PAID
59,A,2022-03-12,0,SPORTS,P1112,Running Shoes,0,"93,94","0,2","0,0",,,Central,62.0,M,Mobile,7,,Firefoxxxxxx,PAID
60,A,2022-03-27,1,FASHHION,P1090,Dress,1,"132,92","0,04","127,6",Cash on Delivery,Standard,West,28.0,F,TABLET,30,Yes,Firefoxxxxxx,Social
61,A,2022-02-02,0,BEAUTY,P1140,Lotion,0,"52,21","0,12","0,0",,,South,25.0,M,Mobile,1,,Ottttther,Social
62,A,2022-03-22,1,FASHHION,P1288,T-shirt,1,"194,24","0,03","188,41",Credit Card,Express,South,46.0,M,Mobile,28,No,Ottttther,Social
63,B,2022-01-24,1,BOOKS,P1900,Science Fiction,2,"36,63","0,24","55,68",Bank Transfer,Express,West,27.0,F,Mobile,10,Yes,Ottttther,Social
64,A,2022-03-02,0,ELECTRONICS,P1729,Laptop,0,"309,38","0,2","0,0",,,Central,51.0,M,TABLET,29,,Ottttther,PAID
65,A,2022-03-02,0,BEAUTY,P1588,Lipstick,0,"68,34","0,15","0,0",,,North,41.0,M,TABLET,6,,Eddddge,PAID
66,B,2022-01-28,0,TOYS,P1410,Action Figure,0,"41,62","0,1","0,0",,,Central,63.0,F,Mobile,26,,Safaaaaari,Organic
67,A,2022-02-27,0,HOME,P1376,Table,0,"290,41","0,06","0,0",,,South,65.0,M,TABLET,15,,Ottttther,Social
68,B,2022-02-12,0,SPORTS,P1383,Running Shoes,0,"257,32","0,03","0,0",,,North,34.0,F,Mobile,15,,Chrooome,PAID
69,A,2022-02-10,0,FASHHION,P1845,T-shirt,0,"125,02","0,29","0,0",,,East,49.0,F,TABLET,9,,Firefoxxxxxx,Email
70,B,2022-02-08,0,ELECTRONICS,P1151,Camera,0,"249,25","0,06","0,0",,,East,28.0,F,Desktop,13,,Ottttther,Organic
71,B,2022-03-27,0,HOME,P1834,Lamp,0,"344,94","0,02","0,0",,,Central,51.0,F,TABLET,23,,Chrooome,Organic
72,A,2022-02-18,0,SPORTS,P1750,Tennis Racket,0,"32,23","0,29","0,0",,,Central,41.0,M,TABLET,1,,Eddddge,Organic
73,A,2022-01-17,0,HOME,P1626,Table,0,"400,98","0,16","0,0",,,North,22.0,M,TABLET,9,,Chrooome,Email
74,B,2022-03-11,1,SPORTS,P1318,Running Shoes,1,"209,99","0,24","159,59",Credit Card,Same day,North,46.0,M,Mobile,3,Yes,Chrooome,Email
75,B,2022-03-11,0,TOYS,P1368,Doll,0,"34,33","0,01","0,0",,,Central,65.0,M,Mobile,30,,Eddddge,Email
76,B,2022-03-06,0,BEAUTY,P1605,Perfume,0,"50,94","0,17","0,0",,,South,65.0,F,Desktop,9,,Eddddge,PAID
77,B,2022-03-15,0,HOME,P1994,Chair,0,"409,22","0,12","0,0",,,East,51.0,F,Desktop,20,,Firefoxxxxxx,Email
78,A,2022-03-26,0,HOME,P1559,Chair,0,"402,5","0,23","0,0",,,North,33.0,F,Desktop,25,,Ottttther,Organic
79,A,2022-01-05,0,HOME,P1702,Sofa,0,"208,54","0,01","0,0",,,South,42.0,F,Mobile,29,,Chrooome,Social
80,A,2022-01-02,1,BEAUTY,P1461,Perfume,1,"51,85","0,12","45,63",Bank Transfer,Express,Central,54.0,M,Desktop,15,No,Safaaaaari,Organic
81,B,2022-01-22,0,ELECTRONICS,P1011,Camera,0,"647,86","0,24","0,0",,,West,25.0,F,Desktop,24,,Safaaaaari,Organic
82,B,2022-02-26,0,SPORTS,P1155,Gym Bag,0,"32,26","0,16","0,0",,,North,46.0,F,TABLET,7,,Firefoxxxxxx,PAID
83,A,2022-03-07,0,TOYS,P1683,Action Figure,0,"12,85","0,17","0,0",,,West,69.0,F,Desktop,4,,Safaaaaari,Organic
84,A,2022-03-15,1,HOME,P1476,Sofa,5,"106,78","0,03","517,88",PayPal,Same day,South,63.0,M,TABLET,25,Yes,Firefoxxxxxx,PAID
85,A,2022-01-16,0,BOOKS,P1938,Mystery,0,"13,34","0,04","0,0",,,East,,F,Mobile,20,,Ottttther,PAID
86,A,2022-02-20,0,BEAUTY,P1400,Mascara,0,"81,68","0,2","0,0",,,South,,M,Mobile,17,,Firefoxxxxxx,Social
87,B,2022-02-08,0,ELECTRONICS,P1807,Smartphone,0,"993,79","0,2","0,0",,,East,40.0,F,TABLET,22,,Eddddge,Organic
88,B,2022-03-27,0,SPORTS,P1176,Running Shoes,0,"206,21","0,29","0,0",,,South,51.0,F,Desktop,4,,Eddddge,Social
89,B,2022-03-17,0,BEAUTY,P1340,Perfume,0,"18,58","0,21","0,0",,,North,20.0,M,Mobile,26,,Eddddge,Social
90,A,2022-03-29,0,TOYS,P1056,Board Game,0,"54,93","0,15","0,0",,,North,47.0,F,TABLET,19,,Eddddge,Organic
91,A,2022-02-09,1,TOYS,P1854,Board Game,3,"52,18","0,26","115,84",Bank Transfer,Express,West,67.0,F,Mobile,28,No,Eddddge,Organic
92,B,2022-02-07,0,SPORTS,P1851,Football,0,"68,93","0,03","0,0",,,South,70.0,M,Mobile,5,,Eddddge,Email
93,B,2022-03-01,0,HOME,P1447,Sofa,0,"464,12","0,13","0,0",,,South,51.0,F,Desktop,16,,Eddddge,Email
94,B,2022-02-28,0,TOYS,P1202,Puzzle,0,"46,87","0,09","0,0",,,West,49.0,F,Mobile,3,,Eddddge,PAID
95,B,2022-01-10,0,ELECTRONICS,P1696,Laptop,0,"995,65","0,03","0,0",,,Central,70.0,F,TABLET,11,,Eddddge,Organic
96,A,2022-03-05,0,BEAUTY,P1632,Mascara,0,"68,81","0,23","0,0",,,South,46.0,F,Desktop,25,,Ottttther,PAID
97,B,2022-03-04,0,ELECTRONICS,P1737,Camera,0,"686,37","0,15","0,0",,,South,26.0,M,TABLET,28,,Eddddge,Social
98,A,2022-02-18,1,HOME,P1201,Sofa,3,,"0,17","241,88",Bank Transfer,Express,South,19.0,F,TABLET,22,No,Firefoxxxxxx,Social
99,A,2022-03-05,0,ELECTRONICS,P1329,Smartphone,0,"563,38","0,12","0,0",,,Central,56.0,M,TABLET,15,,Ottttther,Email
100,A,2022-02-01,0,ELECTRONICS,P1362,Laptop,0,"391,01","0,14","0,0",,,North,24.0,M,Desktop,19,,Safaaaaari,PAID
101,A,2022-01-07,0,FASHHION,P1891,Jeans,0,"170,4","0,03","0,0",,,West,63.0,F,Mobile,21,,Chrooome,Organic
102,B,2022-01-21,0,ELECTRONICS,P1453,Smartphone,0,"827,14","0,2","0,0",,,Central,22.0,F,TABLET,24,,Ottttther,Organic
103,A,2022-01-20,0,SPORTS,P1355,Gym Bag,0,"252,53","0,13","0,0",,,East,25.0,F,Mobile,14,,Eddddge,Email
104,B,2022-01-26,0,BEAUTY,P1215,Lipstick,0,"111,31","0,25","0,0",,,East,49.0,F,Mobile,16,,Ottttther,Email
105,B,2022-03-09,0,FASHHION,P1971,Sneakers,0,"169,88","0,06","0,0",,,Central,35.0,F,TABLET,24,,Chrooome,PAID
106,A,2022-03-27,1,BEAUTY,P1554,Perfume,4,"38,12","0,06","143,33",Credit Card,Standard,Central,55.0,M,Mobile,6,Yes,Chrooome,Email
107,A,2022-01-15,0,BEAUTY,P1886,Perfume,0,"73,29","0,19","0,0",,,North,63.0,Other,Desktop,5,,Eddddge,Email
108,B,2022-03-26,0,HOME,P1022,Chair,0,"361,33","0,25","0,0",,,East,35.0,M,Desktop,21,,Eddddge,Email
109,A,2022-03-20,0,HOME,P1154,Lamp,0,"336,83","0,14","0,0",,,West,66.0,F,Mobile,17,,Firefoxxxxxx,Social
110,A,2022-03-27,1,FASHHION,P1185,Jeans,3,"148,94","0,22","348,52",Bank Transfer,Same day,South,58.0,F,Mobile,16,Yes,Chrooome,PAID
111,A,2022-01-14,0,TOYS,P1248,Board Game,0,"26,3","0,3","0,0",,,South,62.0,F,Desktop,2,,Eddddge,Organic
112,A,2022-01-27,0,BOOKS,P1748,Novel,0,"9,43","0,3","0,0",,,North,33.0,M,Mobile,28,,Chrooome,Organic
113,B,2022-02-09,0,HOME,P1804,Lamp,0,"462,56","0,22","0,0",,,North,38.0,Other,Mobile,11,,Firefoxxxxxx,PAID
114,B,2022-02-27,0,BOOKS,P1133,Science Fiction,0,"30,21","0,22","0,0",,,East,27.0,F,Mobile,4,,Safaaaaari,Email
115,B,2022-01-28,0,HOME,P1320,Table,0,"119,22","0,07","0,0",,,West,59.0,F,Mobile,6,,Chrooome,Email
116,B,2022-01-26,0,HOME,P1389,Table,0,"407,05",,"0,0",,,West,21.0,M,TABLET,27,,Firefoxxxxxx,Organic
117,B,2022-03-04,0,BEAUTY,P1433,Lotion,0,"138,09","0,12","0,0",,,Central,61.0,F,Mobile,7,,Firefoxxxxxx,Social
118,A,2022-03-07,0,FASHHION,P1021,Jeans,0,"50,52","0,29","0,0",,,North,25.0,F,Desktop,17,,Firefoxxxxxx,PAID
119,B,2022-01-25,0,BEAUTY,P1872,Perfume,0,"124,44","0,02","0,0",,,South,64.0,F,TABLET,8,,Ottttther,Email
120,B,2022-01-03,0,SPORTS,P1599,Football,0,"281,97","0,13","0,0",,,South,70.0,F,TABLET,28,,Eddddge,Social
121,B,2022-03-13,0,BEAUTY,P1664,Lipstick,0,"141,37","0,17","0,0",,,East,36.0,M,Desktop,1,,Chrooome,Social
122,B,2022-02-13,0,BOOKS,P1124,Science Fiction,0,"46,14","0,12","0,0",,,South,64.0,M,Mobile,25,,Ottttther,Email
123,A,2022-02-11,1,BOOKS,P1078,Biography,4,"29,59","0,06","111,26",Bank Transfer,Same day,West,57.0,M,TABLET,15,No,Chrooome,PAID
124,A,2022-01-06,0,SPORTS,P1857,Tennis Racket,0,"126,18","0,18","0,0",,,West,57.0,M,TABLET,20,,Ottttther,PAID
125,A,2022-02-08,1,ELECTRONICS,P1967,Smartphone,5,"205,82","0,23","792,41",Credit Card,Express,North,68.0,Other,Mobile,12,Yes,Eddddge,Organic
126,A,2022-02-21,0,ELECTRONICS,P1050,Smartphone,0,"248,73","0,19","0,0",,,East,26.0,M,Mobile,15,,Firefoxxxxxx,Organic
127,B,2022-01-23,0,SPORTS,P1727,Running Shoes,0,"145,79","0,07","0,0",,,South,47.0,M,Desktop,23,,Chrooome,PAID
128,B,2022-03-30,1,SPORTS,P1175,Football,3,"137,82","0,22","322,5",PayPal,Standard,North,34.0,M,TABLET,27,Yes,Firefoxxxxxx,Email
129,A,2022-02-19,0,BEAUTY,P1869,Lotion,0,"35,86","0,08","0,0",,,Central,57.0,F,Mobile,30,,Eddddge,PAID
130,B,2022-02-12,0,SPORTS,P1252,Gym Bag,0,"136,78","0,05","0,0",,,Central,61.0,M,Mobile,22,,Chrooome,Organic
131,A,2022-01-19,0,FASHHION,P1965,Sneakers,0,"51,44","0,21","0,0",,,South,32.0,M,Desktop,15,,Safaaaaari,Organic
132,A,2022-03-10,0,ELECTRONICS,P1245,Smartphone,0,"879,03","0,25","0,0",,,South,21.0,M,TABLET,29,,Safaaaaari,Organic
133,A,2022-02-20,0,ELECTRONICS,P1738,Smartphone,0,"438,56","0,14","0,0",,,South,23.0,M,Mobile,9,,Safaaaaari,PAID
134,A,2022-01-11,0,TOYS,P1105,Puzzle,0,"61,86","0,16","0,0",,,West,,Other,Desktop,16,,Eddddge,PAID
135,B,2022-01-12,0,SPORTS,P1192,Running Shoes,0,"165,77","0,09","0,0",,,South,43.0,M,TABLET,30,,Safaaaaari,Email
136,A,2022-03-15,0,HOME,P1315,Sofa,0,"73,35","0,15","0,0",,,Central,54.0,F,TABLET,2,,Chrooome,Organic
137,B,2022-01-08,0,HOME,P1301,Table,0,"474,01","0,04","0,0",,,South,40.0,Other,TABLET,15,,Safaaaaari,Social
138,B,2022-01-24,0,SPORTS,P1547,Tennis Racket,0,"172,35","0,29","0,0",,,East,30.0,F,TABLET,15,,Chrooome,Social
139,A,2022-02-10,0,FASHHION,P1953,Sneakers,0,"78,51","0,24","0,0",,,Central,64.0,Other,Desktop,27,,Eddddge,Email
140,B,2022-02-05,0,HOME,P1715,Sofa,0,"121,16","0,2","0,0",,,East,34.0,Other,Mobile,7,,Firefoxxxxxx,Email
141,B,2022-03-26,1,TOYS,P1933,Action Figure,5,"37,16","0,16","156,07",PayPal,Standard,Central,44.0,F,TABLET,27,No,Ottttther,Organic
142,A,2022-03-13,0,BOOKS,P1778,Mystery,0,"5,92","0,24","0,0",,,North,69.0,F,TABLET,21,,Safaaaaari,PAID
143,A,2022-02-24,1,SPORTS,P1267,Tennis Racket,3,"128,16","0,15","326,81",PayPal,Same day,Central,39.0,M,Mobile,13,Yes,Ottttther,PAID
144,A,2022-01-09,0,FASHHION,P1169,Sneakers,0,"115,67","0,09","0,0",,,Central,54.0,M,TABLET,23,,Firefoxxxxxx,Social
145,A,2022-02-16,0,FASHHION,P1550,Sneakers,0,"176,94",,"0,0",,,East,36.0,F,TABLET,17,,Eddddge,Organic
146,A,2022-01-15,0,BEAUTY,P1454,Lotion,0,"106,23","0,19","0,0",,,East,56.0,F,Mobile,11,,Eddddge,Social
147,B,2022-02-17,0,FASHHION,P1650,T-shirt,0,"40,08","0,28","0,0",,,Central,52.0,F,Mobile,27,,Firefoxxxxxx,Social
148,B,2022-03-23,0,HOME,P1291,Table,0,"116,49","0,05","0,0",,,Central,30.0,F,TABLET,10,,Ottttther,Organic
149,A,2022-02-11,0,BOOKS,P1563,Biography,0,"24,27","0,05","0,0",,,West,31.0,M,Mobile,25,,Safaaaaari,Email
150,A,2022-03-01,0,HOME,P1798,Table,0,"138,07","0,13","0,0",,,North,65.0,F,Desktop,1,,Chrooome,Social
151,B,2022-03-25,1,SPORTS,P1800,Football,3,"37,52","0,24","85,55",Bank Transfer,Same day,North,48.0,M,Desktop,14,No,Eddddge,Email
152,A,2022-03-11,0,BOOKS,P1140,Mystery,0,"41,23","0,09","0,0",,,South,62.0,M,TABLET,5,,Firefoxxxxxx,PAID
153,A,2022-01-12,0,SPORTS,P1145,Gym Bag,0,"35,27","0,08","0,0",,,Central,19.0,F,TABLET,30,,Ottttther,Social
154,A,2022-01-02,0,FASHHION,P1424,T-shirt,0,"169,52","0,19","0,0",,,Central,63.0,M,Mobile,8,,Safaaaaari,Organic
155,B,2022-01-07,0,TOYS,P1313,Action Figure,0,"18,69","0,16","0,0",,,Central,69.0,F,Mobile,1,,Ottttther,Email
156,A,2022-03-21,0,ELECTRONICS,P1183,Camera,0,"979,74","0,02","0,0",,,Central,56.0,F,TABLET,7,,Safaaaaari,PAID
157,B,2022-01-03,0,BOOKS,P1663,Mystery,0,"32,17","0,02","0,0",,,North,54.0,M,TABLET,2,,Chrooome,PAID
158,B,2022-01-03,1,BEAUTY,P1712,Perfume,5,"112,9","0,19","457,25",Credit Card,Express,East,31.0,F,Desktop,7,No,Chrooome,Social
159,A,2022-01-27,0,ELECTRONICS,P1127,Smartphone,0,"288,39","0,14","0,0",,,West,26.0,F,Mobile,7,,Firefoxxxxxx,PAID
160,B,2022-02-09,0,FASHHION,P1286,Dress,0,"175,18","0,29","0,0",,,East,27.0,M,TABLET,9,,Firefoxxxxxx,Organic
161,A,2022-02-02,0,FASHHION,P1822,T-shirt,0,"171,05","0,2","0,0",,,East,,M,TABLET,22,,Safaaaaari,Social
162,B,2022-01-01,0,ELECTRONICS,P1252,Smartphone,0,"722,39","0,0","0,0",,,North,45.0,F,Mobile,4,,Safaaaaari,PAID
163,B,2022-01-08,0,BEAUTY,P1777,Lipstick,0,"80,32","0,14","0,0",,,West,63.0,M,Mobile,23,,Safaaaaari,Organic
164,B,2022-02-01,0,BOOKS,P1699,Biography,0,"37,47","0,12","0,0",,,Central,42.0,F,TABLET,7,,Safaaaaari,Email
165,A,2022-02-17,0,BOOKS,P1385,Science Fiction,0,"5,27","0,03","0,0",,,North,63.0,M,TABLET,20,,Chrooome,Email
166,B,2022-01-04,0,ELECTRONICS,P1229,Headphones,0,"673,95","0,28","0,0",,,North,45.0,F,TABLET,18,,Firefoxxxxxx,Social
167,A,2022-03-11,0,SPORTS,P1270,Running Shoes,0,"258,8","0,24","0,0",,,West,19.0,F,Mobile,13,,Firefoxxxxxx,Organic
168,A,2022-01-19,0,HOME,P1770,Table,0,"210,6","0,07","0,0",,,South,34.0,M,TABLET,11,,Eddddge,PAID
169,A,2022-02-01,0,TOYS,P1810,Action Figure,0,"15,29","0,08","0,0",,,North,69.0,F,TABLET,9,,Firefoxxxxxx,Social
170,B,2022-01-09,0,SPORTS,P1414,Football,0,"143,64","0,01","0,0",,,East,,F,TABLET,14,,Firefoxxxxxx,Social
171,B,2022-01-12,0,BOOKS,P1197,Novel,0,"37,72","0,09","0,0",,,East,30.0,F,Desktop,8,,Ottttther,PAID
172,A,2022-01-11,1,HOME,P1322,Lamp,1,"98,29","0,18","80,6",PayPal,Same day,Central,35.0,F,Desktop,21,No,Ottttther,Organic
173,B,2022-02-15,1,TOYS,P1055,Action Figure,1,"24,57","0,13","21,38",PayPal,Express,North,20.0,F,Mobile,14,No,Eddddge,PAID
174,A,2022-01-16,0,TOYS,P1830,Puzzle,0,"19,02","0,29","0,0",,,Central,68.0,F,TABLET,21,,Safaaaaari,Email
175,B,2022-01-01,0,TOYS,P1202,Action Figure,0,"80,71","0,02","0,0",,,North,54.0,F,TABLET,17,,Eddddge,Social
176,A,2022-03-04,0,FASHHION,P1782,Dress,0,"31,32","0,18","0,0",,,West,50.0,F,Mobile,27,,Eddddge,Email
177,B,2022-01-21,0,TOYS,P1620,Doll,0,"70,23","0,26","0,0",,,North,58.0,M,Mobile,25,,Chrooome,Social
178,A,2022-01-30,0,BEAUTY,P1627,Perfume,0,"61,3","0,14","0,0",,,South,41.0,Other,Mobile,27,,Firefoxxxxxx,PAID
179,B,2022-01-13,0,ELECTRONICS,P1603,Laptop,0,"804,63","0,0","0,0",,,East,25.0,M,TABLET,14,,Chrooome,Organic
180,A,2022-02-03,1,BOOKS,P1137,Biography,1,,"0,07","45,01",PayPal,Standard,West,52.0,M,Desktop,26,Yes,Firefoxxxxxx,PAID
181,A,2022-01-04,1,BEAUTY,P1421,Mascara,1,"26,04","0,1","23,44",PayPal,Same day,East,19.0,M,Mobile,27,Yes,Eddddge,Email
182,A,2022-01-28,0,ELECTRONICS,P1814,Smartphone,0,"451,51","0,29","0,0",,,Central,50.0,M,TABLET,24,,Firefoxxxxxx,Organic
183,B,2022-02-28,0,SPORTS,P1056,Gym Bag,0,"248,73","0,27","0,0",,,West,29.0,M,Mobile,5,,Safaaaaari,Organic
184,B,2022-01-27,0,SPORTS,P1561,Football,0,"101,86","0,28","0,0",,,South,39.0,M,TABLET,10,,Safaaaaari,Social
185,A,2022-03-10,0,ELECTRONICS,P1070,Smartphone,0,"372,1","0,25","0,0",,,East,30.0,M,Mobile,6,,Eddddge,Organic
