user_id,group,visit_date,conversion,product_category,product_id,product_name,quantity,price,discount,total_value,payment_method,shipping_method,region,customer_age,customer_gender,device,session_duration,coupon_used,browser,referral_source,conversion_str
30,a,2022-03-29,0,books,1467,mystery,0,48.41,0.13,0.0,,,south,20.0,m,mobile,20,,firefox,email,no
31,b,2022-01-15,1,fashhion,1160,jeans,2,111.66,0.11,198.75,cash_on_delivery,same_day,south,64.0,f,desktop,12,no,safari,organic,yes
32,a,2022-02-17,0,toys,1269,action_figure,0,64.62,0.21,0.0,,,east,22.0,f,tablet,5,,edge,social,no
33,a,2022-03-12,1,fashhion,1055,jeans,2,84.15,0.2,134.64,cash_on_delivery,express,west,25.0,f,desktop,14,no,other,email,yes
34,b,2022-01-21,0,toys,1227,action_figure,0,35.73,0.06,0.0,,,west,31.0,m,desktop,16,,safari,social,no
35,b,2022-02-11,0,sports,1848,gym_bag,0,36.25,0.2,0.0,,,south,53.0,f,mobile,11,,firefox,social,no
36,b,2022-01-26,1,fashhion,1148,jeans,3,110.06,0.08,303.77,cash_on_delivery,express,east,24.0,m,tablet,12,no,safari,organic,yes
37,a,2022-01-14,0,home,1045,sofa,0,267.62,0.01,0.0,,,south,24.0,m,mobile,19,,firefox,social,no
38,a,2022-02-26,1,toys,1143,doll,3,19.99,0.21,47.38,cash_on_delivery,same_day,west,67.0,f,desktop,17,no,edge,organic,yes
39,b,2022-02-06,0,fashhion,1749,dress,0,157.58,0.19,0.0,,,central,,f,mobile,30,,chrome,email,no
40,a,2022-02-27,0,beauty,1783,lotion,0,78.97,0.12,0.0,,,east,49.0,f,desktop,24,,chrome,email,no
41,a,2022-01-21,0,books,1631,novel,0,20.25,0.16,0.0,,,east,25.0,f,desktop,26,,edge,social,no
42,a,2022-03-23,1,toys,1339,puzzle,1,18.96,0.28,13.65,bank_transfer,standard,south,29.0,f,mobile,27,yes,safari,organic,yes
43,a,2022-03-10,0,toys,1412,action_figure,0,57.46,0.18,0.0,,,central,27.0,m,mobile,7,,firefox,organic,no
44,b,2022-01-03,0,fashhion,1731,dress,0,155.51,0.2,0.0,,,west,31.0,m,desktop,30,,chrome,paid,no
45,a,2022-03-28,0,sports,1519,running_shoes,0,106.14,0.02,0.0,,,north,26.0,m,mobile,9,,firefox,paid,no
46,b,2022-03-31,0,fashhion,1343,dress,0,59.38,0.05,0.0,,,west,,f,mobile,14,,edge,email,no
47,a,2022-02-06,0,home,1386,lamp,0,284.87,0.09,0.0,,,west,47.0,m,desktop,26,,safari,email,no
48,b,2022-03-29,0,home,1472,lamp,0,119.9,0.16,0.0,,,central,22.0,f,tablet,20,,firefox,paid,no
49,b,2022-02-18,0,toys,1274,action_figure,0,68.33,0.23,0.0,,,east,18.0,m,mobile,12,,safari,organic,no
50,a,2022-01-19,0,toys,1352,board_game,0,62.51,0.1,0.0,,,west,18.0,m,mobile,15,,chrome,social,no
51,b,2022-03-30,0,fashhion,1065,t-shirt,0,35.67,0.11,0.0,,,east,37.0,m,tablet,12,,firefox,social,no
52,b,2022-03-26,1,home,1078,table,4,66.43,0.08,244.46,cash_on_delivery,same_day,central,66.0,m,mobile,21,yes,other,organic,yes
53,b,2022-01-12,0,home,1597,lamp,0,329.13,0.08,0.0,,,central,28.0,f,desktop,21,,chrome,email,no
54,b,2022-03-02,0,sports,1635,football,0,109.46,0.28,0.0,,,south,43.0,m,mobile,29,,safari,social,no
55,b,2022-02-10,0,beauty,1201,perfume,0,22.1,0.19,0.0,,,north,61.0,m,desktop,23,,edge,organic,no
56,b,2022-02-02,0,sports,1977,gym_bag,0,235.05,0.05,0.0,,,central,20.0,m,tablet,13,,other,social,no
57,a,2022-02-19,0,electronics,1661,camera,0,451.24,0.22,0.0,,,central,23.0,m,tablet,9,,firefox,organic,no
58,a,2022-03-09,0,books,1557,science_fiction,0,25.68,0.22,0.0,,,east,60.0,m,tablet,24,,chrome,paid,no
59,a,2022-03-12,0,sports,1112,running_shoes,0,93.94,0.2,0.0,,,central,62.0,m,mobile,7,,firefox,paid,no
60,a,2022-03-27,1,fashhion,1090,dress,1,132.92,0.04,127.6,cash_on_delivery,standard,west,28.0,f,tablet,30,yes,firefox,social,yes
61,a,2022-02-02,0,beauty,1140,lotion,0,52.21,0.12,0.0,,,south,25.0,m,mobile,1,,other,social,no
62,a,2022-03-22,1,fashhion,1288,t-shirt,1,194.24,0.03,188.41,credit_card,express,south,46.0,m,mobile,28,no,other,social,yes
63,b,2022-01-24,1,books,1900,science_fiction,2,36.63,0.24,55.68,bank_transfer,express,west,27.0,f,mobile,10,yes,other,social,yes
64,a,2022-03-02,0,electronics,1729,laptop,0,309.38,0.2,0.0,,,central,51.0,m,tablet,29,,other,paid,no
65,a,2022-03-02,0,beauty,1588,lipstick,0,68.34,0.15,0.0,,,north,41.0,m,tablet,6,,edge,paid,no
66,b,2022-01-28,0,toys,1410,action_figure,0,41.62,0.1,0.0,,,central,63.0,f,mobile,26,,safari,organic,no
67,a,2022-02-27,0,home,1376,table,0,290.41,0.06,0.0,,,south,65.0,m,tablet,15,,other,social,no
68,b,2022-02-12,0,sports,1383,running_shoes,0,257.32,0.03,0.0,,,north,34.0,f,mobile,15,,chrome,paid,no
69,a,2022-02-10,0,fashhion,1845,t-shirt,0,125.02,0.29,0.0,,,east,49.0,f,tablet,9,,firefox,email,no
70,b,2022-02-08,0,electronics,1151,camera,0,249.25,0.06,0.0,,,east,28.0,f,desktop,13,,other,organic,no
71,b,2022-03-27,0,home,1834,lamp,0,344.94,0.02,0.0,,,central,51.0,f,tablet,23,,chrome,organic,no
72,a,2022-02-18,0,sports,1750,tennis_racket,0,32.23,0.29,0.0,,,central,41.0,m,tablet,1,,edge,organic,no
73,a,2022-01-17,0,home,1626,table,0,400.98,0.16,0.0,,,north,22.0,m,tablet,9,,chrome,email,no
74,b,2022-03-11,1,sports,1318,running_shoes,1,209.99,0.24,159.59,credit_card,same_day,north,46.0,m,mobile,3,yes,chrome,email,yes
75,b,2022-03-11,0,toys,1368,doll,0,34.33,0.01,0.0,,,central,65.0,m,mobile,30,,edge,email,no
76,b,2022-03-06,0,beauty,1605,perfume,0,50.94,0.17,0.0,,,south,65.0,f,desktop,9,,edge,paid,no
77,b,2022-03-15,0,home,1994,chair,0,409.22,0.12,0.0,,,east,51.0,f,desktop,20,,firefox,email,no
78,a,2022-03-26,0,home,1559,chair,0,402.5,0.23,0.0,,,north,33.0,f,desktop,25,,other,organic,no
79,a,2022-01-05,0,home,1702,sofa,0,208.54,0.01,0.0,,,south,42.0,f,mobile,29,,chrome,social,no
80,a,2022-01-02,1,beauty,1461,perfume,1,51.85,0.12,45.63,bank_transfer,express,central,54.0,m,desktop,15,no,safari,organic,yes
81,b,2022-01-22,0,electronics,1011,camera,0,647.86,0.24,0.0,,,west,25.0,f,desktop,24,,safari,organic,no
82,b,2022-02-26,0,sports,1155,gym_bag,0,32.26,0.16,0.0,,,north,46.0,f,tablet,7,,firefox,paid,no
83,a,2022-03-07,0,toys,1683,action_figure,0,12.85,0.17,0.0,,,west,69.0,f,desktop,4,,safari,organic,no
84,a,2022-03-15,1,home,1476,sofa,5,106.78,0.03,517.88,paypal,same_day,south,63.0,m,tablet,25,yes,firefox,paid,yes
85,a,2022-01-16,0,books,1938,mystery,0,13.34,0.04,0.0,,,east,,f,mobile,20,,other,paid,no
86,a,2022-02-20,0,beauty,1400,mascara,0,81.68,0.2,0.0,,,south,,m,mobile,17,,firefox,social,no
87,b,2022-02-08,0,electronics,1807,smartphone,0,993.79,0.2,0.0,,,east,40.0,f,tablet,22,,edge,organic,no
88,b,2022-03-27,0,sports,1176,running_shoes,0,206.21,0.29,0.0,,,south,51.0,f,desktop,4,,edge,social,no
89,b,2022-03-17,0,beauty,1340,perfume,0,18.58,0.21,0.0,,,north,20.0,m,mobile,26,,edge,social,no
90,a,2022-03-29,0,toys,1056,board_game,0,54.93,0.15,0.0,,,north,47.0,f,tablet,19,,edge,organic,no
91,a,2022-02-09,1,toys,1854,board_game,3,52.18,0.26,115.84,bank_transfer,express,west,67.0,f,mobile,28,no,edge,organic,yes
92,b,2022-02-07,0,sports,1851,football,0,68.93,0.03,0.0,,,south,70.0,m,mobile,5,,edge,email,no
93,b,2022-03-01,0,home,1447,sofa,0,464.12,0.13,0.0,,,south,51.0,f,desktop,16,,edge,email,no
94,b,2022-02-28,0,toys,1202,puzzle,0,46.87,0.09,0.0,,,west,49.0,f,mobile,3,,edge,paid,no
95,b,2022-01-10,0,electronics,1696,laptop,0,995.65,0.03,0.0,,,central,70.0,f,tablet,11,,edge,organic,no
96,a,2022-03-05,0,beauty,1632,mascara,0,68.81,0.23,0.0,,,south,46.0,f,desktop,25,,other,paid,no
97,b,2022-03-04,0,electronics,1737,camera,0,686.37,0.15,0.0,,,south,26.0,m,tablet,28,,edge,social,no
98,a,2022-02-18,1,home,1201,sofa,3,,0.17,241.88,bank_transfer,express,south,19.0,f,tablet,22,no,firefox,social,yes
99,a,2022-03-05,0,electronics,1329,smartphone,0,563.38,0.12,0.0,,,central,56.0,m,tablet,15,,other,email,no
100,a,2022-02-01,0,electronics,1362,laptop,0,391.01,0.14,0.0,,,north,24.0,m,desktop,19,,safari,paid,no
101,a,2022-01-07,0,fashhion,1891,jeans,0,170.4,0.03,0.0,,,west,63.0,f,mobile,21,,chrome,organic,no
102,b,2022-01-21,0,electronics,1453,smartphone,0,827.14,0.2,0.0,,,central,22.0,f,tablet,24,,other,organic,no
103,a,2022-01-20,0,sports,1355,gym_bag,0,252.53,0.13,0.0,,,east,25.0,f,mobile,14,,edge,email,no
104,b,2022-01-26,0,beauty,1215,lipstick,0,111.31,0.25,0.0,,,east,49.0,f,mobile,16,,other,email,no
105,b,2022-03-09,0,fashhion,1971,sneakers,0,169.88,0.06,0.0,,,central,35.0,f,tablet,24,,chrome,paid,no
106,a,2022-03-27,1,beauty,1554,perfume,4,38.12,0.06,143.33,credit_card,standard,central,55.0,m,mobile,6,yes,chrome,email,yes
107,a,2022-01-15,0,beauty,1886,perfume,0,73.29,0.19,0.0,,,north,63.0,other,desktop,5,,edge,email,no
108,b,2022-03-26,0,home,1022,chair,0,361.33,0.25,0.0,,,east,35.0,m,desktop,21,,edge,email,no
109,a,2022-03-20,0,home,1154,lamp,0,336.83,0.14,0.0,,,west,66.0,f,mobile,17,,firefox,social,no
110,a,2022-03-27,1,fashhion,1185,jeans,3,148.94,0.22,348.52,bank_transfer,same_day,south,58.0,f,mobile,16,yes,chrome,paid,yes
111,a,2022-01-14,0,toys,1248,board_game,0,26.3,0.3,0.0,,,south,62.0,f,desktop,2,,edge,organic,no
112,a,2022-01-27,0,books,1748,novel,0,9.43,0.3,0.0,,,north,33.0,m,mobile,28,,chrome,organic,no
113,b,2022-02-09,0,home,1804,lamp,0,462.56,0.22,0.0,,,north,38.0,other,mobile,11,,firefox,paid,no
114,b,2022-02-27,0,books,1133,science_fiction,0,30.21,0.22,0.0,,,east,27.0,f,mobile,4,,safari,email,no
115,b,2022-01-28,0,home,1320,table,0,119.22,0.07,0.0,,,west,59.0,f,mobile,6,,chrome,email,no
116,b,2022-01-26,0,home,1389,table,0,407.05,,0.0,,,west,21.0,m,tablet,27,,firefox,organic,no
117,b,2022-03-04,0,beauty,1433,lotion,0,138.09,0.12,0.0,,,central,61.0,f,mobile,7,,firefox,social,no
118,a,2022-03-07,0,fashhion,1021,jeans,0,50.52,0.29,0.0,,,north,25.0,f,desktop,17,,firefox,paid,no
119,b,2022-01-25,0,beauty,1872,perfume,0,124.44,0.02,0.0,,,south,64.0,f,tablet,8,,other,email,no
120,b,2022-01-03,0,sports,1599,football,0,281.97,0.13,0.0,,,south,70.0,f,tablet,28,,edge,social,no
121,b,2022-03-13,0,beauty,1664,lipstick,0,141.37,0.17,0.0,,,east,36.0,m,desktop,1,,chrome,social,no
122,b,2022-02-13,0,books,1124,science_fiction,0,46.14,0.12,0.0,,,south,64.0,m,mobile,25,,other,email,no
123,a,2022-02-11,1,books,1078,biography,4,29.59,0.06,111.26,bank_transfer,same_day,west,57.0,m,tablet,15,no,chrome,paid,yes
124,a,2022-01-06,0,sports,1857,tennis_racket,0,126.18,0.18,0.0,,,west,57.0,m,tablet,20,,other,paid,no
125,a,2022-02-08,1,electronics,1967,smartphone,5,205.82,0.23,792.41,credit_card,express,north,68.0,other,mobile,12,yes,edge,organic,yes
126,a,2022-02-21,0,electronics,1050,smartphone,0,248.73,0.19,0.0,,,east,26.0,m,mobile,15,,firefox,organic,no
127,b,2022-01-23,0,sports,1727,running_shoes,0,145.79,0.07,0.0,,,south,47.0,m,desktop,23,,chrome,paid,no
128,b,2022-03-30,1,sports,1175,football,3,137.82,0.22,322.5,paypal,standard,north,34.0,m,tablet,27,yes,firefox,email,yes
129,a,2022-02-19,0,beauty,1869,lotion,0,35.86,0.08,0.0,,,central,57.0,f,mobile,30,,edge,paid,no
130,b,2022-02-12,0,sports,1252,gym_bag,0,136.78,0.05,0.0,,,central,61.0,m,mobile,22,,chrome,organic,no
131,a,2022-01-19,0,fashhion,1965,sneakers,0,51.44,0.21,0.0,,,south,32.0,m,desktop,15,,safari,organic,no
132,a,2022-03-10,0,electronics,1245,smartphone,0,879.03,0.25,0.0,,,south,21.0,m,tablet,29,,safari,organic,no
133,a,2022-02-20,0,electronics,1738,smartphone,0,438.56,0.14,0.0,,,south,23.0,m,mobile,9,,safari,paid,no
134,a,2022-01-11,0,toys,1105,puzzle,0,61.86,0.16,0.0,,,west,,other,desktop,16,,edge,paid,no
135,b,2022-01-12,0,sports,1192,running_shoes,0,165.77,0.09,0.0,,,south,43.0,m,tablet,30,,safari,email,no
136,a,2022-03-15,0,home,1315,sofa,0,73.35,0.15,0.0,,,central,54.0,f,tablet,2,,chrome,organic,no
137,b,2022-01-08,0,home,1301,table,0,474.01,0.04,0.0,,,south,40.0,other,tablet,15,,safari,social,no
138,b,2022-01-24,0,sports,1547,tennis_racket,0,172.35,0.29,0.0,,,east,30.0,f,tablet,15,,chrome,social,no
139,a,2022-02-10,0,fashhion,1953,sneakers,0,78.51,0.24,0.0,,,central,64.0,other,desktop,27,,edge,email,no
140,b,2022-02-05,0,home,1715,sofa,0,121.16,0.2,0.0,,,east,34.0,other,mobile,7,,firefox,email,no
141,b,2022-03-26,1,toys,1933,action_figure,5,37.16,0.16,156.07,paypal,standard,central,44.0,f,tablet,27,no,other,organic,yes
142,a,2022-03-13,0,books,1778,mystery,0,5.92,0.24,0.0,,,north,69.0,f,tablet,21,,safari,paid,no
143,a,2022-02-24,1,sports,1267,tennis_racket,3,128.16,0.15,326.81,paypal,same_day,central,39.0,m,mobile,13,yes,other,paid,yes
144,a,2022-01-09,0,fashhion,1169,sneakers,0,115.67,0.09,0.0,,,central,54.0,m,tablet,23,,firefox,social,no
145,a,2022-02-16,0,fashhion,1550,sneakers,0,176.94,,0.0,,,east,36.0,f,tablet,17,,edge,organic,no
146,a,2022-01-15,0,beauty,1454,lotion,0,106.23,0.19,0.0,,,east,56.0,f,mobile,11,,edge,social,no
147,b,2022-02-17,0,fashhion,1650,t-shirt,0,40.08,0.28,0.0,,,central,52.0,f,mobile,27,,firefox,social,no
148,b,2022-03-23,0,home,1291,table,0,116.49,0.05,0.0,,,central,30.0,f,tablet,10,,other,organic,no
149,a,2022-02-11,0,books,1563,biography,0,24.27,0.05,0.0,,,west,31.0,m,mobile,25,,safari,email,no
150,a,2022-03-01,0,home,1798,table,0,138.07,0.13,0.0,,,north,65.0,f,desktop,1,,chrome,social,no
151,b,2022-03-25,1,sports,1800,football,3,37.52,0.24,85.55,bank_transfer,same_day,north,48.0,m,desktop,14,no,edge,email,yes
152,a,2022-03-11,0,books,1140,mystery,0,41.23,0.09,0.0,,,south,62.0,m,tablet,5,,firefox,paid,no
153,a,2022-01-12,0,sports,1145,gym_bag,0,35.27,0.08,0.0,,,central,19.0,f,tablet,30,,other,social,no
154,a,2022-01-02,0,fashhion,1424,t-shirt,0,169.52,0.19,0.0,,,central,63.0,m,mobile,8,,safari,organic,no
155,b,2022-01-07,0,toys,1313,action_figure,0,18.69,0.16,0.0,,,central,69.0,f,mobile,1,,other,email,no
156,a,2022-03-21,0,electronics,1183,camera,0,979.74,0.02,0.0,,,central,56.0,f,tablet,7,,safari,paid,no
157,b,2022-01-03,0,books,1663,mystery,0,32.17,0.02,0.0,,,north,54.0,m,tablet,2,,chrome,paid,no
158,b,2022-01-03,1,beauty,1712,perfume,5,112.9,0.19,457.25,credit_card,express,east,31.0,f,desktop,7,no,chrome,social,yes
159,a,2022-01-27,0,electronics,1127,smartphone,0,288.39,0.14,0.0,,,west,26.0,f,mobile,7,,firefox,paid,no
160,b,2022-02-09,0,fashhion,1286,dress,0,175.18,0.29,0.0,,,east,27.0,m,tablet,9,,firefox,organic,no
161,a,2022-02-02,0,fashhion,1822,t-shirt,0,171.05,0.2,0.0,,,east,,m,tablet,22,,safari,social,no
162,b,2022-01-01,0,electronics,1252,smartphone,0,722.39,0.0,0.0,,,north,45.0,f,mobile,4,,safari,paid,no
163,b,2022-01-08,0,beauty,1777,lipstick,0,80.32,0.14,0.0,,,west,63.0,m,mobile,23,,safari,organic,no
164,b,2022-02-01,0,books,1699,biography,0,37.47,0.12,0.0,,,central,42.0,f,tablet,7,,safari,email,no
165,a,2022-02-17,0,books,1385,science_fiction,0,5.27,0.03,0.0,,,north,63.0,m,tablet,20,,chrome,email,no
166,b,2022-01-04,0,electronics,1229,headphones,0,673.95,0.28,0.0,,,north,45.0,f,tablet,18,,firefox,social,no
167,a,2022-03-11,0,sports,1270,running_shoes,0,258.8,0.24,0.0,,,west,19.0,f,mobile,13,,firefox,organic,no
168,a,2022-01-19,0,home,1770,table,0,210.6,0.07,0.0,,,south,34.0,m,tablet,11,,edge,paid,no
169,a,2022-02-01,0,toys,1810,action_figure,0,15.29,0.08,0.0,,,north,69.0,f,tablet,9,,firefox,social,no
170,b,2022-01-09,0,sports,1414,football,0,143.64,0.01,0.0,,,east,,f,tablet,14,,firefox,social,no
171,b,2022-01-12,0,books,1197,novel,0,37.72,0.09,0.0,,,east,30.0,f,desktop,8,,other,paid,no
172,a,2022-01-11,1,home,1322,lamp,1,98.29,0.18,80.6,paypal,same_day,central,35.0,f,desktop,21,no,other,organic,yes
173,b,2022-02-15,1,toys,1055,action_figure,1,24.57,0.13,21.38,paypal,express,north,20.0,f,mobile,14,no,edge,paid,yes
174,a,2022-01-16,0,toys,1830,puzzle,0,19.02,0.29,0.0,,,central,68.0,f,tablet,21,,safari,email,no
175,b,2022-01-01,0,toys,1202,action_figure,0,80.71,0.02,0.0,,,north,54.0,f,tablet,17,,edge,social,no
176,a,2022-03-04,0,fashhion,1782,dress,0,31.32,0.18,0.0,,,west,50.0,f,mobile,27,,edge,email,no
177,b,2022-01-21,0,toys,1620,doll,0,70.23,0.26,0.0,,,north,58.0,m,mobile,25,,chrome,social,no
178,a,2022-01-30,0,beauty,1627,perfume,0,61.3,0.14,0.0,,,south,41.0,other,mobile,27,,firefox,paid,no
179,b,2022-01-13,0,electronics,1603,laptop,0,804.63,0.0,0.0,,,east,25.0,m,tablet,14,,chrome,organic,no
180,a,2022-02-03,1,books,1137,biography,1,,0.07,45.01,paypal,standard,west,52.0,m,desktop,26,yes,firefox,paid,yes
181,a,2022-01-04,1,beauty,1421,mascara,1,26.04,0.1,23.44,paypal,same_day,east,19.0,m,mobile,27,yes,edge,email,yes
182,a,2022-01-28,0,electronics,1814,smartphone,0,451.51,0.29,0.0,,,central,50.0,m,tablet,24,,firefox,organic,no
183,b,2022-02-28,0,sports,1056,gym_bag,0,248.73,0.27,0.0,,,west,29.0,m,mobile,5,,safari,organic,no
184,b,2022-01-27,0,sports,1561,football,0,101.86,0.28,0.0,,,south,39.0,m,tablet,10,,safari,social,no
185,a,2022-03-10,0,electronics,1070,smartphone,0,372.1,0.25,0.0,,,east,30.0,m,mobile,6,,edge,organic,no
186,b,2022-01-25,0,beauty,1910,mascara,0,125.55,0.11,0.0,,,north,27.0,f,tablet,28,,other,social,no
187,b,2022-01-03,1,electronics,1913,smartphone,3,989.67,0.27,2167.38,credit_card,standard,north,34.0,m,mobile,10,yes,safari,organic,yes
188,b,2022-03-09,0,toys,1593,board_game,0,57.9,0.29,0.0,,,north,60.0,m,desktop,11,,edge,organic,no
189,b,2022-01-25,0,fashhion,1371,jeans,0,70.05,0.11,0.0,,,west,22.0,m,mobile,26,,chrome,social,no
190,a,2022-01-20,1,books,1616,mystery,2,,0.08,42.21,paypal,standard,south,26.0,m,mobile,24,no,other,organic,yes
191,a,2022-02-03,0,sports,1599,gym_bag,0,75.94,0.16,0.0,,,south,30.0,m,desktop,6,,safari,paid,no
192,b,2022-01-26,0,books,1513,biography,0,39.28,0.06,0.0,,,south,69.0,f,mobile,10,,edge,organic,no
193,b,2022-01-05,0,fashhion,1871,sneakers,0,159.23,0.01,0.0,,,east,40.0,other,desktop,14,,edge,email,no
194,b,2022-03-02,0,toys,1083,doll,0,88.14,0.28,0.0,,,west,47.0,f,tablet,20,,chrome,social,no
195,a,2022-01-09,0,toys,1993,puzzle,0,7.53,0.28,0.0,,,north,60.0,f,desktop,3,,chrome,social,no
196,a,2022-02-19,0,sports,1042,tennis_racket,0,181.73,0.05,0.0,,,east,21.0,m,desktop,7,,other,paid,no
197,b,2022-01-06,1,sports,1665,gym_bag,5,87.85,0.12,386.54,bank_transfer,express,south,38.0,m,tablet,29,yes,safari,email,yes
198,b,2022-03-24,1,toys,1838,action_figure,2,37.38,0.25,56.07,bank_transfer,standard,north,60.0,m,desktop,2,no,edge,organic,yes
199,b,2022-03-01,0,home,1933,sofa,0,403.23,,0.0,,,west,26.0,f,desktop,7,,other,paid,no
200,b,2022-02-13,0,books,1605,novel,0,13.64,0.12,0.0,,,central,24.0,m,tablet,17,,other,organic,no
201,b,2022-01-11,0,fashhion,1809,t-shirt,0,134.9,0.22,0.0,,,south,33.0,f,mobile,13,,chrome,paid,no
202,a,2022-03-07,0,books,1132,novel,0,34.46,0.27,0.0,,,south,40.0,m,mobile,26,,edge,social,no
203,a,2022-02-16,1,fashhion,1394,dress,2,191.74,0.28,276.11,credit_card,express,south,40.0,m,desktop,21,no,firefox,email,yes
204,b,2022-03-14,0,home,1064,chair,0,398.82,0.11,0.0,,,south,48.0,other,mobile,9,,chrome,social,no
205,b,2022-03-26,0,beauty,1289,lipstick,0,122.51,0.05,0.0,,,north,22.0,f,mobile,13,,edge,paid,no
206,a,2022-03-29,0,fashhion,1375,dress,0,115.69,0.27,0.0,,,west,23.0,f,desktop,15,,other,organic,no
207,a,2022-03-27,0,books,1768,science_fiction,0,13.41,0.03,0.0,,,east,68.0,f,tablet,13,,other,email,no
208,b,2022-01-03,0,electronics,1466,camera,0,,0.22,0.0,,,north,18.0,f,mobile,17,,safari,organic,no
209,a,2022-03-17,0,toys,1897,board_game,0,57.2,0.04,0.0,,,west,65.0,f,desktop,8,,firefox,social,no
210,a,2022-01-30,0,toys,1212,board_game,0,69.45,0.12,0.0,,,east,45.0,f,tablet,9,,chrome,organic,no
211,b,2022-03-31,0,home,1147,chair,0,323.47,0.12,0.0,,,south,35.0,m,mobile,9,,safari,paid,no
212,b,2022-01-21,0,fashhion,1572,dress,0,90.92,0.05,0.0,,,west,41.0,f,tablet,8,,safari,email,no
213,b,2022-01-28,0,beauty,1470,perfume,0,47.14,0.28,0.0,,,south,30.0,f,desktop,16,,firefox,email,no
214,a,2022-03-31,0,fashhion,1148,jeans,0,50.28,0.0,0.0,,,west,50.0,m,tablet,20,,chrome,email,no
215,b,2022-03-03,0,toys,1087,board_game,0,70.92,0.27,0.0,,,central,27.0,f,tablet,30,,chrome,paid,no
216,a,2022-02-02,0,sports,1323,tennis_racket,0,204.26,0.27,0.0,,,south,24.0,other,desktop,30,,other,organic,no
217,a,2022-03-26,0,electronics,1894,headphones,0,749.9,0.1,0.0,,,south,54.0,f,mobile,7,,chrome,email,no
